region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,261.34243918843435,183.68614710431999,0.24951248414287153,0.04246040357126068,0.5918212854641579,0.5918212854641579
Basilicata,599999.9999268372,368713847435.37787,0.1567234381786263,0.2080955355379204,0.08062059625673132,0.08062059625673132
P.A. Bolzano,328063.46502016846,543719925.4426515,0.27056523473132554,0.0511039952962418,0.18780444044777775,0.18780444044777775
Calabria,93.96344777649576,17.962858519289778,0.3316594225719114,0.024084898078613404,0.058618986036272504,0.058618986036272504
Campania,438261.6306564366,518907665.6134578,0.17689961812898958,0.030210470362167344,2.533330611396373,2.533330611396373
Emilia Romagna,2903.8777619432335,484.4367896847006,0.19037758825220116,0.013540692872300288,47.5075765267624,47.5075765267624
Friuli Venezia Giulia,123.78176699400022,13.430302806010525,0.5485869971410796,0.08695421782675417,0.004908886398682167,0.004908886398682167
Lazio,948.5936564551442,396.30730538324207,0.28776312950972205,0.027881045609994028,0.8732243866966732,0.8732243866966732
Liguria,410.1424469338734,54.99046315043,0.39729781825166566,0.04648587871884699,0.18821271516938462,0.18821271516938462
Lombardia,8612.560344597878,569.5172727646626,0.2532396392583842,0.01557386448775035,107.82289068929374,107.82289068929374
Marche,846.4671480424645,80.35122851711102,0.32666722180354996,0.025001004574215935,1.6601086207341977,1.6601086207341977
Molise,4.082310571134972,0.28976068328745963,0.9999999999999999,0.528886298044081,0.0012839938860085835,0.0012839938860085835
Piemonte,599999.9998105535,70546644.46753909,0.24846722108497857,0.03377555167072629,5.697037929339955,5.697037929339955
Puglia,202.46408856914908,19.879651897301795,0.3926267357993342,0.03249997132038349,0.09763800436652167,0.09763800436652167
Sardegna,599999.924639614,5624856084.43221,0.2539388367408388,0.07891004352669709,0.1445169678625831,0.1445169678625831
Sicilia,1368.4421458906918,3768.2217616487883,0.22897828316703842,0.021844480801827472,0.6131443495484193,0.6131443495484193
Toscana,599999.9856278123,718824180.8677974,0.1830990520076024,0.05231540158890652,5.003104765949474,5.003104765949474
P.A. Trento,112.95295299817455,11.77245800676529,0.4609767105453564,0.06189931348077831,0.024687619187399177,0.024687619187399177
Umbria,65.2638718974042,14.94546619558874,0.3839506385510531,0.04372735783631623,0.01792259709161465,0.01792259709161465
Valle d'Aosta,599999.999937686,4702941444.087538,0.40921297497203113,0.10336222210253224,0.004483319369086983,0.004483319369086983
Veneto,847.6066266994851,114.56905346506309,0.22625718506906212,0.018610401004413385,10.17338528241895,10.17338528241895
Italia,21968.861343880173,2457.7584865262356,0.22308268901382464,0.012220493689388389,211.09551621177926,211.09551621177926
