region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,892.2537101743874,516.9558630893032,0.2864773919354034,0.024796720243126923,0.5165541783126935,0.5165541783126935
Basilicata,92531.38979134017,231091049.82182598,0.1772474043365874,0.04387767064541161,0.3647857675384511,0.3647857675384511
P.A. Bolzano,334.9806322901948,22.102097501661685,0.49307398538103675,0.03750524570002382,0.028994414328688933,0.028994414328688933
Calabria,226.68235466909292,42.333450183740325,0.3816117494783139,0.028455072797069457,0.04943687917378462,0.04943687917378462
Campania,1615.3766250566237,626.4560208726209,0.20912489049195265,0.013210204611233073,5.725549971657275,5.725549971657275
Emilia Romagna,7003.676995822037,1083.3157525970732,0.19062134984275325,0.011102800504990898,97.81515524056519,97.81515524056519
Friuli Venezia Giulia,433.6698084688405,29.24616024359076,0.4079479021732697,0.03443028277185929,0.29337509090840413,0.29337509090840413
Lazio,1315.2443718210743,292.86475144741695,0.2940975962325046,0.020811521639772245,1.5226572942612582,1.5226572942612582
Liguria,1038.2316802742198,87.20656150354765,0.35847311118876946,0.019103196165502268,0.7024641859673214,0.7024641859673214
Lombardia,18287.28618784322,1043.795220909503,0.23918277056861417,0.008945732723254907,183.52445714294672,183.52445714294672
Marche,2159.5190339221244,176.85843823677428,0.28637368425548926,0.013536387446933005,6.384579875376011,6.384579875376011
Molise,16.331854941090363,0.35646176711517064,0.893860994041665,0.12226253593128363,0.0017106935745292782,0.0017106935745292782
Piemonte,599999.9999932067,40413088.80432314,0.21745661534184305,0.021776382877971373,14.590779635723393,14.590779635723393
Puglia,1546.4923522296572,1433.652721459253,0.27040208544702665,0.03007021356746472,1.0088247508105994,1.0088247508105994
Sardegna,382.61455622507896,260.84391919465014,0.2982208531068985,0.042101649473691244,0.24527806388551313,0.24527806388551313
Sicilia,340.9421316112375,23.572296559155202,0.29935508332243826,0.01393750788289334,0.9388991704659613,0.9388991704659613
Toscana,2085.323888578395,303.81070594587874,0.2858169295775412,0.016214448672511605,3.7252907637824055,3.7252907637824055
P.A. Trento,438.78818248850905,36.79783978732628,0.6527019560380575,0.09116174187335754,0.0022544641732392024,0.0022544641732392024
Umbria,568.2005187303492,166.83419595130906,0.2851271465227869,0.01967615942840281,0.5632311944612792,0.5632311944612792
Valle d'Aosta,599999.9999677996,747884188.494917,0.35452305928336286,0.052800437354073804,0.05584569826235171,0.05584569826235171
Veneto,7973.253481133456,2566.606611794151,0.18959535143235456,0.01293527835153119,58.17223649189936,58.17223649189936
Italia,51571.536412508496,2995.678154230054,0.2259954695707226,0.0053422316173420345,366.78897871690583,366.78897871690583
