region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,76236.35755501631,383762515.4113564,0.3100212530943449,0.0630466864493659,0.00643964262921915,0.00643964262921915
Basilicata,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
P.A. Bolzano,9.550990719157651,0.6451098571885907,0.7448450769892074,0.06092648781039825,3.3106926966510423e-06,3.3106926966510423e-06
Calabria,1.372033024576806,0.4152951288489414,0.8858211511260256,0.13708677106648906,2.3331629605526342e-08,2.3331629605526342e-08
Campania,358247.008372583,9485407616.264502,0.3100589671319556,0.1330161081142392,0.012120732824404745,0.012120732824404745
Emilia Romagna,762.6270029196161,68.61056055738742,0.2934079282121325,0.01142044677709775,1.3147857980033244,1.3147857980033244
Friuli Venezia Giulia,166.35464505116101,207.9326644424134,0.3370436100373267,0.04520603473291774,0.02188248523980294,0.02188248523980294
Lazio,36.33115423573782,5.3053664157576765,0.3335314125218176,0.02862202992916072,0.038510132404960935,0.038510132404960935
Liguria,363.7235309162093,364.4065371996225,0.3303498006918577,0.03360322345373826,0.052342867085740104,0.052342867085740104
Lombardia,2523.804654499977,210.70343237074587,0.3031659814973033,0.01574707188811133,5.701564034941359,5.701564034941359
Marche,209.32071194942344,32.09471988523074,0.2878092640925288,0.009940596875800577,0.18617779928865005,0.18617779928865005
Molise,141280.7336621773,2.994282601926087e-12,0.6931973525757239,0.1443277596265256,2.7578188496789883e-07,2.7578188496789883e-07
Piemonte,266.58417834334574,31.770816283948164,0.4129801023442394,0.020940094166996354,0.031309210960777226,0.031309210960777226
Puglia,490413.43385063444,5697150666.293873,0.2471396371565096,0.059518709701078434,0.08591759235720749,0.08591759235720749
Sardegna,2.680647297034093,0.7059295835890116,0.9316408061665413,0.12079328168025592,1.9244324123590522e-08,1.9244324123590522e-08
Sicilia,2.435834369234781,0.20586236717930584,0.9999910679116184,0.22862196060282014,1.130063489738162e-07,1.130063489738162e-07
Toscana,347557.11760638584,2344378279.1437902,0.34551114680980455,0.06322125392047862,0.008972306384560588,0.008972306384560588
P.A. Trento,7.549235716394471,0.5705141596201746,0.9999999710184702,0.06806168727244298,3.107052829048511e-08,3.107052829048511e-08
Umbria,137705.67904913594,18608122673.776352,0.25536517026708766,0.16720766114359806,0.004694360397281405,0.004694360397281405
Valle d'Aosta,162632.9646289282,9564242739.495653,0.253242330417623,0.10402307560136217,0.008380376767301604,0.008380376767301604
Veneto,162.51461023866918,26.81965058266154,0.24410131582592254,0.01582628302667094,0.7415142370605565,0.7415142370605565
Italia,4496.15293026857,298.7963154913318,0.2959374061690692,0.009416895323133815,8.356726771035861,8.356726771035861
