region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,599999.9999962737,1948044787.0379214,0.3378625134635167,0.08280680307221001,0.051050929848273426,0.051050929848273426
Basilicata,15.380504029773249,2.5756642557262253,0.2946583673383527,0.04315087232960785,0.06989758059313926,0.06989758059313926
P.A. Bolzano,205.00490554501113,11.795045008405033,0.6162334275299581,0.06623924407787898,0.003150260495303807,0.003150260495303807
Calabria,98.45328740412471,35.419247648807264,0.44923286893880765,0.08397222564241133,0.006681663028478289,0.006681663028478289
Campania,1750.819543891361,1482.727008532331,0.19981480843882204,0.015319294409683475,4.050085155683455,4.050085155683455
Emilia Romagna,3695.287873870336,684.7657151342405,0.19115023363165817,0.011826958955184071,44.12975221003935,44.12975221003935
Friuli Venezia Giulia,270.5105776274207,15.429174522065514,0.39909915125941536,0.03243053547584736,0.2884064824720246,0.2884064824720246
Lazio,323.3775845226924,41.75392528486159,0.3462230016891507,0.025591653892508455,0.2490844219239239,0.2490844219239239
Liguria,674.7630330772137,395.9167791443586,0.3233688009812458,0.05900496620830259,0.3965683252450344,0.3965683252450344
Lombardia,5882.052980180355,1075.8897466267108,0.34086421753848367,0.05581736826078978,9.915300836505214,9.915300836505214
Marche,1416.4577758442117,378.6371083292711,0.26381628051891937,0.02269920263110298,3.2664076952451757,3.2664076952451757
Molise,8.752807540252276,0.3169667045333231,0.9999999999999999,0.2423549248298352,0.00027569240797258824,0.00027569240797258824
Piemonte,1488.8080522140024,4038.9204248141764,0.13931540693513722,0.026115163621961694,9.65589580333741,9.65589580333741
Puglia,599999.9999753425,735524385.9878317,0.27454982172716297,0.041578981843978007,0.34075348432196606,0.34075348432196606
Sardegna,127.17241717781116,32.53608092463941,0.3622482091225268,0.051866339542885956,0.06641449273789836,0.06641449273789836
Sicilia,128.95780070026777,5.8103024897138855,0.37998826522358486,0.026868654131423444,0.2592673833616385,0.2592673833616385
Toscana,809.0860443742439,93.53630724664514,0.39427287329019073,0.03852532811223707,0.37762510469352073,0.37762510469352073
P.A. Trento,284.6608059375492,24.633334896834956,0.9492834847910138,0.20480979580650754,5.971310733251987e-06,5.971310733251987e-06
Umbria,481.6931631119809,231.67282314392125,0.2657228037824006,0.023728027807086747,0.5627527377095446,0.5627527377095446
Valle d'Aosta,599999.9999999594,1093388558.570354,0.32255915072734903,0.04757949452183191,0.07688224531909729,0.07688224531909729
Veneto,8817.194004938747,7070.081353914457,0.18238640525603253,0.018313367640592444,42.25524532310937,42.25524532310937
Italia,22006.5883508848,4444.096954955396,0.2565938246464772,0.022423961431151128,86.03521373598564,86.03521373598564
