region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,599999.110334048,8876864662.860262,0.2502926473574424,0.15380920060941844,0.19643157000945854,0.19643157000945854
Basilicata,599998.9003046829,3.0836845967773026e-12,0.9999999999999999,0.287045905122058,2.1486436156090343e-09,2.1486436156090343e-09
P.A. Bolzano,36.98682419777718,3.2870361106851624,0.9999999999998104,0.43263378555655907,1.3640419059096346e-05,1.3640419059096346e-05
Calabria,49.74905101689967,67.71151111666482,0.3183591714956938,0.16542107135826623,0.04200180473399873,0.04200180473399873
Campania,1598.7826917615857,30887.45008457676,0.1698096296914166,0.07187697817391762,1.6613123652522463,1.6613123652522463
Emilia Romagna,782.2269730172599,602.8747412362097,0.14622925248927987,0.041717558843074196,26.967549508405746,26.967549508405746
Friuli Venezia Giulia,35.90880187813061,8.445554728636369,0.6528782855600724,0.6262105731051226,0.006692273046850596,0.006692273046850596
Lazio,80.2063470168291,5.249177853682018,0.9999999999998553,0.257823365847052,5.1648069773493845e-06,5.1648069773493845e-06
Liguria,96.48368192131667,9.730512952089247,0.5053826560477809,0.11800059816012011,0.03240090613944215,0.03240090613944215
Lombardia,1188.5010537462476,265.27374556636033,0.30771815119859297,0.1437243581967072,24.01006100113864,24.01006100113864
Marche,163.46466009126195,30.81718173127109,0.3611004025017389,0.12819902802360583,0.7738285276774224,0.7738285276774224
Molise,1.2194601116611437,0.4704069984815805,0.9998861918739371,3.060070854876288,0.0018929658287567283,0.0018929658287567283
Piemonte,599999.9646668837,1100546672.17467,0.25147428742197403,0.1503630925454587,1.5017307122092325,1.5017307122092325
Puglia,599999.9997267791,7217800415.269053,0.30325489136083683,0.2501947922028544,0.1000104761467361,0.1000104761467361
Sardegna,27.967400681108963,27.928492571106197,0.3557881176407001,0.29832034535818175,0.030510019227683084,0.030510019227683084
Sicilia,27.660198983465037,5.932792134358483,0.3672987917830389,0.157272646004116,0.13300147735055248,0.13300147735055248
Toscana,241.10674524608402,141.532887533701,0.27199492574714956,0.10475279309320373,1.1747885155881097,1.1747885155881097
P.A. Trento,52.9601209931464,18.04004233948683,0.9999999999999999,1.4727874576818234,6.615981700944507e-06,6.615981700944507e-06
Umbria,35.591171879730126,8.592470861090733,0.4842078147300506,0.18453134164237878,0.007042631819741769,0.007042631819741769
Valle d'Aosta,257272.5524703974,1907193303.8024848,0.3517054434024751,0.21528913915069078,0.017614931412782836,0.017614931412782836
Veneto,289.2249413463356,62.76683856946732,0.3660936084205607,0.1537271491629718,1.3143026383816185,1.3143026383816185
Italia,3724.236311600921,800.5072452027027,0.2467515448933872,0.055766565717398894,65.73768467753241,65.73768467753241
