region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,112687.79218728804,1216644504.8539293,0.2669060756285557,0.11111365649337336,0.02367830029758614,0.02367830029758614
Basilicata,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
P.A. Bolzano,599996.3106935188,2.604197232082904e-13,0.9999999999999999,0.20772447628154003,2.5145500905320884e-10,2.5145500905320884e-10
Calabria,1.2931554672853827,0.17056666762553105,0.9977145467432613,0.7506955682306039,3.7044697696296637e-06,3.7044697696296637e-06
Campania,334987.9754652122,2827726764.044474,0.29088338914047207,0.13200206511535803,0.057595507435113706,0.057595507435113706
Emilia Romagna,599999.9980630078,1173364972.680374,0.2084492842338628,0.04184212632375831,1.2290065361613987,1.2290065361613987
Friuli Venezia Giulia,19.135870423328047,1.3811868321480454,0.5479512000434691,0.08821419363028786,0.0022079182365735807,0.0022079182365735807
Lazio,37.84695916058335,5.470626800441335,0.3969204025046548,0.08017440658257448,0.04071753412420931,0.04071753412420931
Liguria,432823.6613336058,2432564848.6791377,0.23013084278439075,0.09054441408791736,0.37371788746670986,0.37371788746670986
Lombardia,6867.731594946606,2495.232676514215,0.21788125276477752,0.020753264480333575,34.357965758309554,34.357965758309554
Marche,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
Molise,10.16915814969249,12.282062286881436,0.9431327435014613,0.16422758680742458,1.2058886679618886e-08,1.2058886679618886e-08
Piemonte,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
Puglia,2.3977875596219276,0.5822053491793402,0.28079337253923015,0.10715745371061461,0.04346379900159904,0.04346379900159904
Sardegna,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
Sicilia,599999.999999967,48777903200.69644,0.14086643669226892,0.07408723747619743,0.34112371062065566,0.34112371062065566
Toscana,11.532915903863087,0.5493134601804944,0.7614028305355844,0.1177393482739993,4.709024566696446e-05,4.709024566696446e-05
P.A. Trento,88849.88073014785,589576841.4952902,0.2528445798472086,0.08909847736962792,0.035131068664627195,0.035131068664627195
Umbria,69892.70431674116,765067002.8732183,0.23792604217556235,0.09034308212420157,0.025151402401668233,0.025151402401668233
Valle d'Aosta,0.005767120581892218,26947105.827124808,1.5107284411110474e-08,0.14026377278735705,1.1100869662430754e-05,1.1100869662430754e-05
Veneto,179.47243301917544,19.858416972497547,0.33701402360689026,0.03741819390420496,0.3981455990498343,0.3981455990498343
Italia,7741.211493943057,2242.30344285714,0.2246524249727123,0.01811255981591881,35.77259841916869,35.77259841916869
