region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,241.4542285316481,65.55234916331158,0.3092075819155882,0.037299729150398225,0.30297747350919135,0.30297747350919135
Basilicata,599999.9999214725,72191047757.28645,0.20257012497476073,0.1079300364734845,0.06050312333506222,0.06050312333506222
P.A. Bolzano,780.6104445862579,1607.8611555168782,0.2853586729645593,0.035241771942679766,0.175714426822653,0.175714426822653
Calabria,119.83944076340205,22.329532394610755,0.3380520117080891,0.022345490537142052,0.05957806116368969,0.05957806116368969
Campania,316.03289256313883,123.295378331417,0.23217506044943684,0.031290923540442175,1.6015080162089441,1.6015080162089441
Emilia Romagna,3288.3398238885193,541.8026218386717,0.19201180944447105,0.013677786324560489,52.85949029880971,52.85949029880971
Friuli Venezia Giulia,154.75192523408617,15.351384888598608,0.49743616349514097,0.060740450599572234,0.013716193378878212,0.013716193378878212
Lazio,1210.0276565240288,496.50138709151645,0.2687088912655956,0.021753301740398773,1.4161901334291935,1.4161901334291935
Liguria,527.3105865689664,59.09797406355138,0.38066570235251557,0.03645444516116158,0.33930616629674515,0.33930616629674515
Lombardia,9712.379291921801,572.5705378999558,0.24821422495502551,0.01368962045131414,136.9750315875611,136.9750315875611
Marche,996.8908301624666,77.6702504679447,0.3080809628383927,0.0194952476405488,2.992282591330929,2.992282591330929
Molise,8.903497398727673,0.7351805947142087,0.35486467806583993,0.07911730284133256,0.1450927968353552,0.1450927968353552
Piemonte,599999.9999996109,51449846.277454495,0.2337356951510605,0.026872273017893585,9.165898064677407,9.165898064677407
Puglia,259.2327152251613,39.051359025868045,0.3428348168011525,0.030656797043838266,0.22642989424086432,0.22642989424086432
Sardegna,599999.999991745,4869507914.311102,0.2720936387633065,0.07868424113740269,0.10379804666198938,0.10379804666198938
Sicilia,1402.5048454226912,2094.0292042942247,0.25884240223467386,0.01761126144166209,0.42868113240724315,0.42868113240724315
Toscana,599999.9746878562,310900583.8472743,0.1959118172909279,0.037350867856644376,5.816472486984335,5.816472486984335
P.A. Trento,147.8055492831791,14.071803365157187,0.44606784288837276,0.0468687370394754,0.03384087991624259,0.03384087991624259
Umbria,115.6762452047616,17.833061113328295,0.3440828888432319,0.021031329098355388,0.05771839332642613,0.05771839332642613
Valle d'Aosta,339245.51031950524,1192014496.513483,0.39173392747980224,0.08987154756195209,0.007563089118887113,0.007563089118887113
Veneto,1211.3645997448034,147.41424748469151,0.2179480580424276,0.013883724478260398,14.215968367834318,14.215968367834318
Italia,24922.189961081796,2408.17011460372,0.22334248001595394,0.011036256856214312,252.08658037033885,252.08658037033885
